x;y
93;107
93;105
93;105
93;104
93;103
93;103
93;102
93;101
93;100
93;100
92;100
92;100
92;100
92;100
91;100
90;100
89;100
88;100
87;100
86;100
84;99
84;98
83;98
82;98
81;96
80;95
79;95
78;94
77;92
77;91
76;90
76;88
76;87
75;85
74;84
74;83
73;80
72;79
72;78
71;76
71;76
70;75
69;72
69;71
67;69
67;68
66;67
66;66
64;64
64;63
63;62
62;61
62;60
60;58
59;57
59;56
57;54
56;54
55;53
54;52
54;51
52;49
51;48
50;47
48;45
47;44
46;43
45;40
44;39
43;38
42;37
41;36
41;34
39;32
38;30
38;29
36;26
35;25
35;24
34;22
32;20
31;18
30;17
29;14
28;13
27;12
26;10
25;9
24;7
22;4
22;2
21;0
19;-2
19;-4
18;-6
18;-8
17;-13
17;-15
16;-17
16;-19
15;-23
14;-25
13;-27
12;-31
12;-32
11;-34
10;-35
9;-38
7;-39
6;-40
4;-40
1;-42
0;-43
-1;-44
-2;-45
-5;-47
-7;-47
-8;-48
-10;-50
-11;-51
-13;-55
-14;-56
-16;-58
-16;-59
-17;-61
-19;-64
-20;-65
-21;-67
-22;-68
-24;-70
-25;-70
-26;-71
-27;-71
-29;-72
-32;-72
-33;-72
-35;-72
-36;-72
-40;-72
-42;-72
-44;-72
-46;-72
-50;-72
-51;-72
-53;-73
-56;-74
-57;-75
-59;-76
-60;-77
-62;-78
-65;-80
-66;-81
-69;-84
-71;-85
-72;-87
-75;-90
-76;-91
-77;-93
-78;-94
-79;-97
-81;-99
-82;-101
-84;-101
-85;-101
-85;-101
-87;-101
-88;-101
-89;-101
-90;-101
-92;-101
-93;-101
-94;-101
-95;-101
-98;-101
-99;-101
-100;-101
-101;-101
-102;-102
-105;-103
-107;-105
-108;-106
-109;-107
-111;-108
-113;-110
-114;-113
-114;-114
-115;-116
-115;-118
-116;-121
-116;-123
-116;-124
-116;-127
-116;-128
-116;-129
-116;-129
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
-116;-130
