x;y
-124;-122
-122;-122
-120;-122
-119;-122
-116;-122
-115;-122
-113;-122
-111;-122
-110;-122
-109;-122
-108;-122
-107;-122
-106;-121
-105;-120
-104;-119
-103;-118
-103;-118
-103;-116
-103;-116
-102;-115
-102;-115
-102;-115
-102;-115
-102;-115
-102;-115
-102;-115
-102;-115
-102;-115
-102;-115
-102;-115
-102;-115
-102;-115
-102;-115
-102;-115
-102;-115
-102;-115
-102;-113
-102;-111
-102;-108
-102;-106
-102;-99
-102;-90
-101;-81
-101;-75
-101;-73
-100;-70
-100;-68
-100;-65
-100;-65
-100;-65
-99;-65
-98;-65
-96;-65
-90;-65
-82;-66
-77;-66
-69;-67
-66;-68
-58;-68
-49;-68
-46;-68
-42;-66
-39;-64
-38;-61
-38;-59
-39;-54
-40;-47
-40;-40
-42;-35
-44;-32
-44;-30
-46;-25
-47;-22
-47;-20
-48;-16
-48;-15
-48;-13
-48;-11
-48;-9
-48;-6
-48;-4
-48;-3
-48;0
-48;1
-48;2
-48;2
-48;2
-48;2
-48;2
-48;2
-48;2
-47;2
-47;2
-45;2
-44;2
-41;2
-34;2
-32;3
-26;4
-17;5
-13;6
-5;10
3;14
7;16
15;21
22;27
26;30
34;38
42;42
46;44
53;47
53;50
53;51
53;53
53;55
52;56
51;58
50;58
49;60
48;61
48;63
47;65
47;68
47;71
47;74
50;77
54;79
61;79
69;79
72;79
83;79
91;79
94;79
102;79
105;79
113;79
115;79
116;79
116;79
116;79
115;79
114;79
114;79
112;79
111;79
107;79
105;79
103;79
102;80
100;82
99;83
97;84
95;85
93;87
91;88
90;88
89;88
87;88
86;88
85;88
85;88
84;88
84;88
83;88
83;88
82;88
82;88
82;88
82;88
82;88
82;88
82;88
82;87
87;86
94;85
100;84
107;82
115;81
125;81
130;81
133;81
140;81
