x;y
-166;99
-166;94
-166;89
-166;84
-166;82
-165;81
-165;79
-164;79
-164;78
-163;77
-162;77
-161;77
-161;77
-160;77
-159;77
-158;77
-157;77
-157;77
-156;77
-156;77
-155;77
-154;77
-153;77
-152;77
-151;77
-150;77
-149;77
-149;76
-148;75
-146;73
-145;72
-144;71
-143;69
-141;68
-139;67
-137;66
-136;65
-133;65
-131;65
-128;64
-127;63
-126;63
-124;62
-121;61
-117;59
-113;58
-109;57
-104;56
-102;56
-97;55
-92;55
-87;55
-82;55
-76;55
-69;55
-66;55
-59;55
-52;55
-41;55
-33;55
-26;55
-22;55
-17;53
-17;50
-17;47
-17;43
-17;40
-18;30
-18;26
-18;22
-18;20
-18;16
-17;13
-17;10
-16;8
-10;8
-2;8
4;8
11;8
15;8
22;8
30;7
37;6
45;5
51;2
51;-1
51;-3
51;-8
51;-15
51;-25
50;-32
49;-42
49;-49
50;-54
50;-57
52;-61
56;-63
60;-65
66;-67
74;-69
81;-70
89;-71
96;-71
100;-71
107;-71
113;-71
113;-71
113;-71
113;-71
113;-71
112;-71
111;-71
109;-71
108;-71
105;-71
103;-71
102;-71
100;-71
98;-71
96;-71
93;-71
90;-71
88;-71
86;-72
84;-73
84;-76
84;-79
84;-83
84;-87
84;-93
84;-96
84;-103
84;-110
85;-115
93;-119
101;-123
109;-123
116;-123
123;-123
131;-122
133;-121
134;-120
135;-119
135;-115
135;-112
135;-107
135;-101
134;-94
132;-87
131;-81
128;-74
124;-68
121;-65
116;-62
110;-60
105;-58
