;time;x;y;fx;fy
;63;119;-119;-58;59
;126;119;-119;-66;41
;189;119;-119;-66;41
;252;119;-119;-66;41
;315;118;-119;-66;41
;378;118;-119;-66;41
;441;118;-119;-59;40
;504;118;-119;-59;40
;567;118;-119;-59;40
;630;117;-119;-59;40
;693;117;-119;-58;39
;756;117;-119;-58;39
;819;117;-119;-58;39
;882;117;-119;-58;39
;945;116;-119;-58;39
;1008;116;-119;-52;42
;1071;116;-119;-52;42
;1134;116;-119;-52;42
;1197;116;-119;-52;42
;1260;116;-119;-52;42
;1323;116;-119;-39;47
;1386;116;-119;-39;47
;1449;116;-119;-39;47
;1512;116;-119;-39;47
;1575;116;-119;-39;47
;1638;116;-118;-39;77
;1701;116;-118;-39;77
;1764;116;-117;-39;77
;1827;116;-116;-39;77
;1890;116;-116;-39;77
;1953;116;-114;-30;80
;2016;116;-113;-30;80
;2079;116;-113;-30;80
;2142;116;-112;-30;80
;2205;116;-110;-30;80
;2268;116;-110;-30;85
;2331;116;-109;-30;85
;2394;116;-108;-30;85
;2457;116;-106;-30;85
;2520;116;-106;-30;85
;2583;116;-105;-34;81
;2646;116;-104;-34;81
;2709;116;-103;-34;81
;2772;116;-102;-34;81
;2835;116;-101;-34;81
;2898;116;-100;-38;76
;2961;116;-99;-38;76
;3024;116;-98;-38;76
;3087;116;-98;-38;76
;3150;116;-97;-38;76
;3213;116;-97;0;37
;3276;116;-97;0;37
;3339;116;-97;0;37
;3402;116;-97;0;37
;3465;116;-97;0;45
;3528;116;-97;0;45
;3591;116;-97;0;45
;3654;116;-97;0;45
;3717;116;-97;0;45
;3780;116;-96;0;63
;3843;116;-96;-33;63
;3906;116;-95;-33;63
;3969;116;-94;-33;63
;4032;116;-94;-33;63
;4095;116;-93;-33;92
;4158;116;-92;-34;92
;4221;116;-91;-34;92
;4284;116;-90;-34;92
;4347;116;-89;-34;92
;4410;116;-88;-34;92
;4473;116;-86;-34;86
;4536;116;-86;-34;86
;4599;116;-85;-34;86
;4662;116;-84;-34;86
;4725;116;-82;-34;93
;4788;116;-81;-39;93
;4851;116;-81;-39;93
;4914;116;-80;-39;93
;4977;116;-78;-39;93
;5040;116;-77;-39;95
;5103;116;-76;-41;95
;5166;116;-75;-41;95
;5229;116;-73;-41;95
;5292;116;-72;-41;95
;5355;116;-71;-41;99
;5418;116;-70;-44;99
;5481;116;-68;-44;99
;5544;116;-67;-44;99
;5607;116;-66;-44;99
;5670;116;-65;-44;98
;5733;116;-63;-41;98
;5796;116;-62;-41;98
;5859;116;-62;-41;98
;5922;116;-61;-41;98
;5985;116;-59;-38;87
;6048;116;-58;-38;87
;6111;116;-57;-38;87
;6174;116;-56;-38;87
;6237;116;-55;-38;87
;6300;116;-54;-38;60
;6363;116;-53;-38;60
;6426;116;-53;-38;60
;6489;116;-52;-38;60
;6552;116;-51;-38;60
;6615;116;-51;-38;60
;6678;116;-50;-42;68
;6741;116;-49;-42;68
;6804;116;-48;-42;68
;6867;116;-48;-42;68
;6930;116;-47;-42;68
;6993;116;-46;-43;68
;7056;116;-46;-43;68
;7119;116;-45;-43;68
;7182;116;-44;-43;68
;7245;116;-43;-43;68
;7308;116;-43;-43;68
;7371;116;-42;-43;68
;7434;116;-41;-43;68
;7497;116;-40;-43;68
;7560;116;-40;-50;66
;7623;116;-39;-50;66
;7686;116;-38;-50;66
;7749;116;-37;-50;66
;7812;116;-37;-50;66
;7875;116;-36;-50;63
;7938;116;-36;-50;63
;8001;116;-35;-50;63
;8064;116;-34;-50;63
;8127;116;-34;-50;63
;8190;115;-33;-53;61
;8253;115;-32;-53;61
;8316;115;-31;-53;61
;8379;115;-31;-53;61
;8442;115;-30;-53;61
;8505;114;-29;-70;89
;8568;114;-28;-70;89
;8631;114;-27;-70;89
;8694;114;-26;-70;89
;8757;113;-25;-70;89
;8820;113;-24;-73;62
;8883;113;-24;-73;62
;8946;113;-23;-73;62
;9009;112;-22;-73;62
;9072;112;-22;-73;62
;9135;112;-21;-67;56
;9198;111;-21;-67;56
;9261;111;-20;-67;56
