x;y
120;-117
120;-114
120;-110
120;-107
120;-100
120;-97
120;-96
120;-96
120;-96
120;-96
120;-96
120;-96
120;-96
120;-96
120;-96
120;-96
120;-89
120;-84
120;-80
120;-70
120;-66
120;-63
120;-56
120;-56
120;-50
120;-47
120;-45
120;-41
120;-39
120;-37
120;-35
120;-25
120;-20
120;-16
120;-11
120;-6
120;0
120;3
120;6
120;13
120;15
120;18
120;20
120;23
120;28
120;29
120;29
120;29
120;29
120;29
120;31
120;34
120;41
120;44
120;50
120;52
120;54
120;56
120;58
120;62
120;62
120;62
120;62
120;62
120;62
120;65
120;67
120;72
120;75
120;77
120;80
120;85
120;87
120;90
120;92
120;93
120;93
120;93
120;93
120;93
120;93
120;93
120;93
120;93
120;94
120;96
120;98
120;102
120;104
120;105
120;105
120;105
120;105
120;105
120;105
