x;y
131;-80
131;-76
131;-73
131;-69
131;-66
131;-60
131;-60
131;-60
129;-60
126;-60
124;-60
122;-60
119;-60
117;-60
111;-60
108;-60
105;-60
102;-60
100;-60
94;-60
91;-60
88;-60
82;-60
80;-60
77;-60
71;-57
68;-52
64;-47
61;-43
56;-34
52;-27
50;-25
45;-20
38;-16
34;-16
27;-16
23;-16
20;-16
17;-15
11;-9
5;-3
2;0
0;3
-4;11
-7;15
-11;22
-17;26
-19;26
-22;26
-28;26
-34;28
-36;30
-39;33
-41;35
-49;41
-53;41
-56;41
-58;41
-62;42
-66;50
-68;54
-71;62
-75;66
-77;68
-82;71
-85;74
-87;74
-88;74
-92;74
-94;74
-97;74
-99;77
-103;84
-107;90
-109;93
-111;96
-113;98
-119;104
-122;106
-124;106
-125;106
-127;106
-128;106
-128;108
-128;110
-128;113
-128;115
-128;120
-128;123
-128;126
-128;130
-128;130
-128;130
