time;x;y;fx;fy
63;120;-115;0;261
126;120;-110;0;261
189;120;-105;0;261
252;120;-96;0;261
315;120;-92;0;219
378;120;-89;0;219
441;120;-86;0;219
504;120;-79;0;219
567;120;-76;0;219
630;120;-74;0;140
693;120;-71;0;140
756;120;-69;0;140
819;120;-65;0;140
882;120;-63;0;140
945;120;-62;0;125
1008;120;-58;0;125
1071;120;-56;0;125
1134;120;-55;0;125
1197;120;-53;0;125
1260;120;-51;0;143
1323;120;-47;0;143
1386;120;-45;0;143
1449;120;-43;0;143
1512;120;-41;0;143
1575;120;-36;0;218
1638;120;-32;0;218
1701;120;-29;0;218
1764;120;-26;0;218
1827;120;-19;0;218
1890;120;-16;0;278
1953;120;-11;0;278
2016;120;-2;0;278
2079;120;2;0;278
2142;120;7;0;278
2205;120;12;0;278
2268;120;21;0;264
2331;120;26;0;264
2394;120;30;0;264
2457;120;35;0;264
2520;120;44;0;216
2583;120;47;0;216
2646;120;50;0;216
2709;120;53;0;216
2772;120;57;0;216
2835;120;63;0;185
2898;120;65;0;185
2961;120;68;0;185
3024;120;70;0;185
3087;120;76;0;185
3150;120;78;0;193
3213;120;81;0;193
3276;120;84;0;193
3339;120;90;0;193
3402;120;93;0;193
3465;120;96;0;242
3528;120;100;0;242
3591;120;107;0;242
3654;120;111;0;242
3717;120;115;0;242
3780;120;118;0;151
3843;120;122;0;151
3906;120;124;0;151
3969;120;126;0;151
4032;120;128;0;151
4095;120;130;0;0
4158;120;130;0;0
4221;120;130;0;0
4284;120;130;0;0
4347;120;130;27;0
4410;120;130;27;0
4473;120;130;27;0
4536;120;130;27;0
4599;120;130;27;0
4662;120;130;30;0
4725;120;130;30;0
4788;120;130;30;0
4851;120;130;30;0
4914;120;130;30;0
4977;120;130;0;0
5040;120;130;0;-57
5103;120;130;0;-57
5166;120;130;0;-57
5229;120;130;0;-57
5292;120;130;0;-57
5355;120;127;0;-121
5418;120;125;0;-121
5481;120;124;0;-121
5544;120;122;0;-121
5607;120;119;0;-121
5670;120;117;0;-124
5733;120;115;0;-124
5796;120;114;0;-124
5859;120;110;0;-124
5922;120;108;0;-124
5985;120;107;-28;-124
6048;120;105;-28;0
6111;120;105;-28;0
6174;120;105;-28;0
6237;120;105;-28;0
6300;120;105;-104;0
6363;120;105;-104;0
6426;120;105;-104;0
6489;120;105;-104;0
6552;120;105;-104;0
6615;117;105;-175;0
6678;114;105;-175;0
6741;111;105;-175;0
6804;108;105;-175;0
6867;102;105;-175;0
6930;100;105;-177;0
6993;97;105;-177;0
7056;94;105;-177;0
7119;88;105;-177;-43
7182;85;105;-177;-43
7245;84;105;-99;-43
7308;84;105;-99;-43
7371;84;104;-99;-148
7434;84;102;-99;-148
7497;84;100;-99;-148
7560;84;98;-87;-148
7623;84;94;-87;-148
7686;84;92;-87;-159
7749;84;87;-87;-159
7812;83;84;-131;-159
7875;82;82;-131;-159
7938;80;80;-131;-159
8001;77;76;-131;-120
8064;75;74;-131;-120
8127;73;73;-134;-120
8190;71;71;-134;-120
8253;70;69;-134;-120
8316;66;65;-134;-176
8379;64;62;-134;-176
8442;63;60;-107;-176
8505;63;57;-107;-176
8568;63;52;-107;-187
8631;63;50;-107;-187
8694;63;47;-107;-187
8757;63;45;-107;-187
8820;59;39;-123;-187
8883;58;37;-123;-187
8946;56;35;-123;-156
9009;54;32;-123;-156
9072;50;28;-203;-156
9135;47;26;-203;-156
9198;43;24;-203;-156
9261;40;23;-203;-91
9324;34;23;-203;-91
9387;31;23;-199;-91
9450;29;23;-199;-91
9513;26;23;-199;-91
9576;19;21;-199;-124
9639;16;19;-199;-124
9702;13;17;-206;-124
9765;9;16;-206;-124
9828;3;12;-206;-121
9891;0;11;-206;-121
9954;-3;9;-206;-121
10017;-6;7;-151;-121
10080;-8;6;-151;-121
10143;-12;2;-151;-145
10206;-14;0;-151;-145
10269;-16;-1;-151;-145
10332;-18;-3;-159;-145
10395;-23;-7;-159;-145
10458;-25;-9;-159;-130
10521;-27;-11;-159;-130
10584;-29;-13;-159;-130
10647;-33;-16;-139;-130
10710;-35;-18;-139;-130
10773;-37;-19;-139;-121
10836;-39;-21;-139;-121
10899;-42;-25;-139;-121
10962;-44;-26;-128;-121
11025;-46;-28;-128;-121
11088;-47;-30;-128;-121
11151;-51;-33;-128;-117
11214;-53;-34;-128;-117
11277;-54;-36;-128;-117
11340;-56;-37;-124;-117
11403;-59;-40;-124;-124
11466;-61;-42;-124;-124
11529;-63;-44;-124;-124
11592;-64;-46;-124;-124
11655;-67;-49;-114;-124
11718;-69;-50;-114;-107
11781;-70;-50;-114;-107
11844;-72;-50;-114;-107
11907;-74;-50;-102;-107
11970;-74;-50;-102;-107
12033;-74;-51;-102;-163
12096;-74;-53;-102;-163
12159;-74;-58;-102;-163
12222;-74;-61;-102;-163
12285;-75;-63;-134;-163
12348;-76;-66;-134;-120
12411;-80;-69;-134;-120
12474;-82;-71;-134;-120
12537;-83;-72;-134;-120
12600;-85;-74;-106;-120
12663;-85;-78;-106;-150
12726;-85;-80;-106;-150
12789;-85;-82;-106;-150
12852;-85;-84;-106;-150
12915;-87;-88;-155;-116
12978;-89;-90;-155;-116
13041;-91;-91;-155;-116
13104;-93;-93;-155;-116
13167;-97;-96;-155;-116
13230;-99;-97;-118;-116
13293;-100;-99;-118;-150
13356;-102;-101;-118;-150
13419;-105;-105;-118;-150
13482;-106;-107;-118;-150
13545;-108;-110;-129;-150
13608;-111;-110;-129;-108
13671;-113;-110;-129;-108
13734;-115;-110;-129;-108
13797;-116;-110;-129;-108
13860;-117;-111;-105;-150
13923;-117;-113;-105;-150
13986;-117;-115;-105;-150
14049;-117;-117;-105;-150
14112;-117;-119;-105;-150
14175;-117;-123;-100;-101
14238;-117;-123;-100;-101
14301;-117;-123;-100;-101
14364;-117;-123;-100;-101
14427;-117;-123;0;-101
14490;-117;-123;0;-59
14553;-117;-123;0;-59
14616;-117;-123;0;-59
14679;-117;-123;0;-59
14742;-117;-123;0;-59
14805;-117;-123;0;-33
14868;-117;-123;0;-33
14931;-117;-123;145;-33
14994;-115;-123;145;-33
15057;-113;-123;145;-33
15120;-111;-123;145;-40
15183;-107;-123;145;-40
15246;-105;-123;145;-40
15309;-102;-123;222;-40
15372;-95;-123;222;-40
15435;-92;-123;222;0
15498;-89;-123;222;0
15561;-86;-123;222;0
15624;-83;-123;152;0
15687;-79;-123;152;0
15750;-77;-123;152;0
15813;-73;-123;152;0
15876;-73;-123;152;0
15939;-67;-123;210;0
16002;-64;-123;210;0
16065;-60;-123;210;0
16128;-54;-123;210;0
16191;-50;-123;242;0
16254;-47;-123;242;0
16317;-39;-123;242;0
16380;-39;-123;242;0
16443;-32;-123;242;0
16506;-28;-123;206;0
16569;-25;-123;206;0
16632;-22;-123;206;0
16695;-15;-123;206;0
16758;-12;-123;206;0
16821;-9;-123;162;0
16884;-7;-123;162;0
16947;-2;-123;162;0
17010;0;-123;162;0
17073;2;-123;162;0
17136;5;-123;162;0
17199;9;-123;157;0
17262;12;-123;157;0
17325;14;-123;157;0
17388;18;-123;157;0
17451;21;-123;157;0
17514;23;-123;153;0
17577;25;-123;153;0
17640;27;-123;153;0
17703;31;-123;153;0
17766;33;-123;153;0
17829;34;-123;134;0
17892;36;-123;134;0
17955;40;-123;134;0
18018;41;-123;134;0
18081;43;-123;134;0
18144;47;-123;150;30
18207;49;-123;150;30
18270;51;-123;150;30
18333;53;-123;150;30
18396;55;-123;150;30
18459;60;-123;162;56
18522;62;-123;162;56
18585;65;-123;162;56
18648;67;-123;162;56
18711;72;-123;150;56
18774;74;-123;150;59
18837;76;-123;150;59
18900;78;-123;150;59
18963;82;-123;150;59
19026;84;-123;148;59
19089;86;-123;148;58
19152;88;-123;148;58
19215;92;-123;148;58
19278;94;-123;148;58
19341;96;-123;129;58
19404;98;-123;129;95
19467;102;-123;129;95
19530;103;-123;129;95
19593;105;-123;129;95
19656;107;-123;101;95
19719;107;-123;101;97
19782;107;-123;101;97
19845;107;-123;101;97
19908;107;-123;101;97
19971;107;-123;93;97
20034;107;-123;93;72
20097;107;-123;93;72
20160;107;-123;93;72
20223;107;-123;93;72
20286;108;-123;134;72
20349;110;-123;134;45
20412;113;-123;134;45
20475;115;-123;134;45
20538;116;-123;134;45
20601;120;-123;124;44
20664;120;-123;124;44
20727;123;-123;124;44
20790;125;-123;124;44
20853;128;-123;70;44
20916;128;-123;70;83
20979;128;-123;70;83
21042;128;-123;70;83
21105;128;-123;70;83
21168;128;-123;70;83
21231;128;-122;0;166
21294;128;-120;0;166
21357;128;-117;0;166
21420;128;-115;0;166
21483;128;-110;0;166
21546;128;-107;0;226
21609;128;-104;0;226
21672;128;-97;0;226
21735;128;-94;0;226
21798;128;-91;0;226
21861;128;-86;0;113
21924;128;-85;0;113
21987;128;-83;0;113
22050;128;-80;0;113
22113;128;-79;0;113
22176;128;-78;0;0
22239;128;-78;-44;0
22302;128;-78;-44;0
22365;128;-78;-44;0
22428;128;-78;-44;0
22491;128;-78;-44;32
22554;128;-78;-44;32
22617;128;-78;-99;32
22680;128;-78;-99;32
22743;128;-78;-99;32
22806;128;-78;-99;0
22869;127;-78;-173;0
22932;124;-78;-173;0
22995;122;-78;-173;0
23058;120;-78;-173;0
23121;117;-78;-173;0
23184;112;-78;-241;0
23247;108;-78;-241;0
23310;104;-78;-241;0
23373;97;-78;-241;43
23436;97;-78;-241;43
23499;90;-78;-115;43
23562;88;-78;-115;43
23625;87;-78;-115;43
23688;84;-78;-115;251
23751;82;-73;-115;251
23814;80;-69;-116;251
23877;79;-64;-116;251
23940;77;-59;-116;251
24003;74;-50;-116;251
24066;72;-46;-116;227
24129;71;-43;-116;227
24192;65;-37;-191;227
24255;62;-33;-191;227
24318;58;-30;-191;227
24381;55;-30;-191;88
24444;49;-30;-220;88
24507;49;-30;-220;88
24570;42;-30;-220;88
24633;38;-30;-220;88
24696;30;-30;-220;98
24759;27;-30;-182;98
24822;24;-30;-182;98
24885;21;-30;-182;98
24948;16;-27;-182;248
25011;13;-23;-182;248
25074;11;-18;-170;248
25137;9;-13;-170;248
25200;4;-4;-170;248
25263;1;0;-170;164
25326;0;1;-170;164
25389;-2;4;-147;164
25452;-6;9;-147;164
25515;-8;11;-147;164
25578;-10;14;-147;151
25641;-12;16;-147;151
25704;-16;20;-142;151
25767;-18;22;-142;151
25830;-20;24;-142;151
25893;-24;26;-142;63
25956;-26;26;-121;63
26019;-28;26;-121;63
26082;-30;26;-121;63
26145;-31;26;-121;63
26208;-35;28;-121;170
26271;-36;30;-121;170
26334;-38;33;-137;170
26397;-40;35;-137;170
26460;-44;40;-137;170
26523;-46;43;-137;177
26586;-48;45;-137;177
26649;-52;50;-149;177
26712;-52;50;-149;177
26775;-56;55;-149;177
26838;-58;57;-149;127
26901;-62;60;-125;127
26964;-64;62;-125;127
27027;-66;64;-125;127
27090;-67;65;-125;127
27153;-71;69;-125;134
27216;-72;71;-105;134
27279;-72;72;-105;134
27342;-72;74;-105;134
27405;-72;77;-105;134
27468;-72;77;-105;134
27531;-72;81;-105;136
27594;-72;83;-105;136
27657;-72;85;-105;136
27720;-72;89;-105;136
27783;-72;91;-105;122
27846;-72;93;-130;122
27909;-74;95;-130;122
27972;-77;98;-130;122
