x;y
-122;130
-122;130
-122;130
-122;130
-122;130
-120;130
-117;130
-115;130
-112;130
-107;130
-105;130
-101;130
-98;130
-92;130
-88;130
-85;130
-82;130
-75;130
-72;130
-69;130
-66;130
-59;130
-56;130
-53;130
-50;130
-43;130
-40;130
-37;130
-30;130
-27;130
-24;130
-22;130
-17;130
-14;130
-12;130
-10;130
-5;130
-2;130
0;130
2;130
6;130
8;130
11;130
13;130
17;130
20;130
22;130
25;130
30;130
32;130
34;130
35;130
39;130
40;130
42;130
44;130
48;130
50;130
52;130
54;130
58;130
61;130
65;130
69;128
72;127
78;122
80;121
83;120
89;120
91;120
94;120
94;120
94;120
94;120
94;120
94;120
94;120
94;120
94;120
94;120
94;120
94;120
94;120
94;120
95;120
98;120
101;120
102;120
107;120
110;120
114;120
114;120
