x;y
120;114
120;114
120;114
120;114
120;114
120;114
120;114
120;114
120;114
120;114
120;114
120;114
120;114
120;114
120;114
120;114
118;114
115;114
113;114
111;114
110;114
106;114
103;114
101;114
99;114
95;112
93;110
93;108
93;106
93;103
93;100
93;98
93;95
93;90
93;88
93;85
93;82
91;77
89;75
87;72
85;70
81;66
78;64
76;62
73;60
68;55
66;53
63;50
61;48
57;43
55;40
53;38
51;35
47;30
45;28
43;25
41;23
37;18
35;15
33;13
28;9
26;7
24;5
22;2
18;0
15;-2
13;-4
11;-5
9;-7
4;-9
1;-9
0;-9
-2;-9
-7;-9
-9;-11
-11;-13
-14;-15
-18;-19
-20;-21
-22;-23
-24;-25
-28;-29
-30;-31
-33;-33
-35;-35
-40;-39
-43;-41
-45;-42
-47;-44
-52;-48
-54;-50
-56;-52
-58;-54
-61;-58
-63;-60
-65;-62
-68;-66
-70;-68
-72;-70
-73;-72
-77;-76
-79;-78
-80;-80
-82;-82
-86;-86
-88;-88
-90;-90
-92;-92
-96;-96
-98;-98
-100;-100
-102;-102
-106;-106
-108;-108
-109;-110
-111;-111
-114;-111
-115;-111
-117;-111
-118;-111
-120;-112
-123;-115
-123;-117
-123;-118
-123;-120
-123;-124
-123;-125
-123;-127
-123;-129
-123;-130
-123;-130
-123;-130
-123;-130
-123;-130
-123;-130
-123;-130
-123;-130
-125;-130
-126;-130
-128;-130
-129;-130
-132;-130
-134;-130
-135;-130
-137;-130
-140;-130
-141;-130
-142;-130
