x;y
-107;105
-107;105
-107;105
-107;105
-107;105
-107;105
-107;105
-107;105
-107;105
-110;103
-112;100
-114;98
-117;92
-117;92
-120;87
-122;84
-124;82
-127;76
-128;73
-128;71
-128;68
-128;64
-128;62
-128;60
-128;58
-128;58
-128;58
-128;58
-128;58
-128;57
-128;56
-128;54
-128;53
-128;50
-128;48
-128;45
-128;43
-128;41
-128;37
-128;35
-128;33
-128;31
-128;27
-128;25
-128;21
-128;19
-128;17
-128;15
-128;11
-128;10
-128;8
-128;6
-128;4
-128;1
-128;0
-128;-2
-128;-4
-128;-9
-128;-11
-128;-14
-128;-21
-128;-21
-128;-27
-128;-31
-128;-37
-128;-41
-128;-44
-128;-47
-128;-51
-128;-57
-128;-61
-128;-64
-128;-71
-128;-74
-128;-77
-128;-81
-128;-84
-128;-88
-128;-94
-128;-98
-124;-104
-121;-107
-118;-109
-115;-112
-109;-115
-105;-117
-101;-119
-92;-122
-88;-124
-84;-126
-80;-127
-74;-130
