x;y
-109;-124
-109;-124
-109;-124
-109;-124
-109;-124
-109;-123
-109;-121
-109;-116
-109;-113
-109;-111
-109;-108
-109;-106
-109;-102
-109;-100
-109;-98
-109;-95
-108;-95
-105;-95
-103;-95
-102;-95
-100;-95
-98;-95
-90;-95
-87;-95
-83;-95
-79;-95
-76;-95
-72;-95
-65;-95
-61;-95
-57;-95
-50;-95
-46;-95
-39;-95
-36;-95
-32;-95
-28;-95
-25;-95
-21;-95
-14;-95
-10;-95
-6;-95
-3;-95
3;-95
7;-95
11;-95
14;-95
22;-95
25;-95
29;-95
33;-95
36;-95
43;-95
47;-95
51;-95
54;-95
62;-95
65;-95
69;-95
73;-95
80;-95
84;-95
87;-95
91;-95
98;-95
102;-95
106;-96
110;-97
118;-100
122;-101
126;-102
134;-105
138;-107
142;-108
147;-110
150;-112
