;time;x;y;fx;fy
;63;120;-119;0;140
;126;120;-116;0;140
;189;120;-115;0;140
;252;120;-113;0;140
;315;120;-112;0;140
;378;120;-109;0;130
;441;120;-108;0;130
;504;120;-106;0;130
;567;120;-105;0;130
;630;120;-103;0;118
;693;120;-101;0;118
;756;120;-100;0;118
;819;120;-99;0;118
;882;120;-97;0;118
;945;120;-96;0;139
;1008;120;-94;0;139
;1071;120;-93;0;139
;1134;120;-90;-49;139
;1197;120;-88;-49;139
;1260;120;-87;-49;145
;1323;120;-85;-49;145
;1386;120;-82;-49;145
;1449;120;-81;-49;145
;1512;119;-80;-86;145
;1575;118;-78;-86;145
;1638;117;-75;-86;160
;1701;116;-73;-86;160
;1764;116;-71;-86;160
;1827;115;-69;-95;160
;1890;114;-66;-95;160
;1953;113;-64;-95;160
;2016;112;-62;-95;160
;2079;111;-61;-95;160
;2142;110;-57;-94;160
;2205;109;-55;-94;153
;2268;108;-54;-94;153
;2331;108;-52;-94;153
;2394;106;-49;-52;153
;2457;106;-47;-52;153
;2520;106;-46;-52;62
;2583;106;-46;-52;62
;2646;106;-46;-52;62
;2709;106;-46;0;62
;2772;106;-46;0;62
;2835;106;-46;0;61
;2898;106;-46;0;61
;2961;106;-46;0;61
;3024;106;-46;0;61
;3087;106;-46;0;61
;3150;106;-46;0;72
;3213;106;-46;0;72
;3276;106;-46;0;72
;3339;106;-46;0;72
;3402;106;-46;0;81
;3465;106;-45;0;81
;3528;106;-45;0;81
;3591;106;-44;0;81
;3654;106;-43;0;81
;3717;106;-42;0;81
;3780;106;-41;0;94
;3843;106;-41;0;94
;3906;106;-39;0;94
;3969;106;-38;0;94
;4032;106;-37;0;94
;4095;106;-37;0;90
;4158;106;-35;0;90
;4221;106;-34;0;90
;4284;106;-34;0;90
;4347;106;-33;0;90
;4410;106;-31;0;109
;4473;106;-30;0;109
;4536;106;-29;0;109
;4599;106;-28;0;109
;4662;106;-26;0;109
;4725;106;-25;0;110
;4788;106;-24;0;110
;4851;106;-23;0;110
;4914;106;-21;0;110
